epoch,lr-Adam,step,val/beta,val/l_kl,val/l_recon,val/l_score,val/loss
,0.001,0,,,,,
0,,3,0.00039999998989515007,175.72377014160156,16.96739959716797,6.2147650718688965,23.252452850341797
,0.0009755282581475768,4,,,,,
1,,7,0.0007999999797903001,275.17718505859375,13.892928123474121,nan,nan
,0.0009045084971874737,8,,,,,
2,,11,0.0012000000569969416,nan,nan,nan,nan
,0.0007938926261462366,12,,,,,
3,,15,0.0015999999595806003,nan,nan,nan,nan
,0.0006545084971874737,16,,,,,
4,,19,0.0020000000949949026,nan,nan,nan,nan
,0.0005,20,,,,,
5,,23,0.002400000113993883,nan,nan,nan,nan
,0.00034549150281252633,24,,,,,
6,,27,0.00279999990016222,nan,nan,nan,nan
,0.00020610737385376348,28,,,,,
7,,31,0.0031999999191612005,nan,nan,nan,nan
,9.549150281252633e-05,32,,,,,
